address,description,ensMapping
0xde43d08f8150ffd4e0b6398a80ae7e322247cfac,The Oldest One Time Miner,oneTimeMiner.aetheriablockmuseum.eth
0xE28e72FCf78647ADCe1F1252F240bbfaebD63BcC,The Augur token sale contract,augurTokensale.aetheriablockmuseum.eth
0x0000000000000000000000000000000000000001,The Burn 0x1 address,burn1.aetheriablockmuseum.eth
0xbb9bc244d798123fde783fcc1c72d3bb8c189413,theDAO contract address,theDAO.aetheriablockmuseum.eth
0x969837498944ae1dc0dcac2d0c65634c88729b2d,theDAO attacker main control address,theDAOAttacker.aetheriablockmuseum.eth
0x304a554a310c7e546dfe434669c62820b7d83490,The Dark DAO malicious child,theDarkDAO.aetheriablockmuseum.eth
0xb284e6a25d0972f9a92fec45d2075067db2d49b0,EXTCODESIZE malicious contract,EXTCODESIZEMaliciousContract.aetheriablockmuseum.eth
0x1d0fee96aa9750f87894b034d25e17edca8b76a3,EXTCODESIZE attacker address,EXTCODESIZEAttacker.aetheriablockmuseum.eth
0x6a0a0fc761c612c340a0e98d33b37a75e5268472 ,Suicide Bomber 1 contract address,suicideBomber1.aetheriablockmuseum.eth
0x7c20218efc2e07c8fe2532ff860d4a5d8287cb31 ,Suicide Bomber 2 contract address,suicideBomber2.aetheriablockmuseum.eth
0xb3764761e297d6f121e79c32a65829cd1ddb4d32,Multisig Exploit Hacker,multisigExploitHacker.aetheriablockmuseum.eth
0x91efffb9c6cd3a66474688d0a48aa6ecfe515aa5,Edgeless team multisig,edgelessMultisig.aetheriablockmuseum.eth
0xA66d83716c7CFE425B44D0f7ef92dE263468fb3d,MANA sale contract,MANATokensale.aetheriablockmuseum.eth
0xcca95e580bbbd04851ebfb85f77fd46c9b91f11c,Terraform contract,terraform.aetheriablockmuseum.eth
0xae7168deb525862f4fee37d987a971b385b96952,devops199,devops199.aetheriablockmuseum.eth
0x06012c8cf97BEaD5deAe237070F9587f8E7A266d,CryptoKitties NFT contract,cryptokitties.aetheriablockmuseum.eth
0x89d24A6b4CcB1B6fAA2625fE562bDD9a23260359,DAI token contract,dai.aetheriablockmuseum.eth
